GCF_030519285.1	Mycobacterium arseniciresistens
GCF_022374935.2	Mycobacterium virginiense
GCF_000195955.2	Mycobacterium tuberculosis
GCF_008329645.1	Mycobacterium grossiae
GCF_002086285.1	Mycobacterium kumamotonense
GCF_001644575.1	Mycobacterium adipatum
GCF_010731635.1	Mycobacterium noviomagense
GCF_019645875.1	Mycobacterium senegalense
GCF_002102395.1	Mycobacterium triviale
GCF_001245615.1	Mycobacterium neworleansense
GCF_013466425.1	Mycobacterium vicinigordonae
GCF_016767715.1	Mycobacterium gwanakae
GCA_002102225.1	Mycobacterium interjectum_B
GCF_001665625.1	Mycobacterium peregrinum_B
GCF_002101775.1	Mycobacterium nonchromogenicum
GCF_900566075.1	Mycobacterium pseudokansasii
GCF_002101735.1	Mycobacterium kyorinense
GCF_010728925.1	Mycobacterium gadium
GCF_010729485.1	Mycobacterium hiberniae
GCF_032883035.1	Mycobacterium appelbergii
GCF_002116635.1	Mycobacterium szulgai
GCF_963853645.1	Mycobacterium riyadhense
GCF_002101585.1	Mycobacterium engbaekii
GCF_002086635.1	Mycobacterium alsense
GCF_010731795.1	Mycobacterium celeriflavum
GCF_010731875.1	Mycobacterium sarraceniae
GCF_001673565.1	Mycobacterium sinense_C
GCF_041287165.2	Mycobacterium bulgaricum
GCF_006439015.1	Mycobacterium hodleri_A
GCA_024758765.1	Mycobacterium heraklionense_C
GCF_002592005.1	Mycobacterium palauense
GCF_001942625.1	Mycobacterium syngnathidarum
GCF_002356315.1	Mycobacterium shigaense
GCF_003614435.1	Mycobacterium paragordonae
GCF_900108565.1	Mycobacterium rutilum
GCF_017086405.1	Mycobacterium gordonae_D
GCF_022179545.1	Mycobacterium fortuitum
GCF_050205315.1	Mycobacterium pulveris_A
GCF_000277125.1	Mycobacterium intracellulare
GCF_900603025.1	Mycobacterium hassiacum
GCF_000266905.1	Mycobacterium chubuense_A
GCA_000230935.2	Mycobacterium rhodesiae_B
GCF_000164135.1	Mycobacterium parascrofulaceum
GCF_000805385.1	Mycobacterium setense
GCF_024320865.1	Mycobacterium arenosum
GCF_010723575.1	Mycobacterium bourgelatii
GCF_000613185.1	Mycobacterium cosmeticum
GCF_010729895.1	Mycobacterium confluentis
GCF_000689255.1	Mycobacterium triplex
GCF_010728325.1	Mycobacterium poriferae
GCF_019645835.1	Mycobacterium holsaticum
GCF_001672775.1	Mycobacterium kyorinense_A
GCF_001667865.1	Mycobacterium mantenii_A
GCF_025822245.1	Mycobacterium hodleri
GCF_020181635.2	Mycobacterium zoologicum
GCF_001044255.1	Mycobacterium chubuense
GCA_001942045.1	Mycobacterium porcinum_A
GCF_025823315.1	Mycobacterium houstonense
GCF_002104795.1	Mycobacterium koreense
GCF_000559085.1	Mycobacterium aromaticivorans
GCF_005670685.2	Mycobacterium mucogenicum_B
GCF_001044235.1	Mycobacterium chlorophenolicum
GCF_002102185.1	Mycobacterium fragae
GCF_002105755.1	Mycobacterium colombiense
GCF_900637205.1	Mycobacterium chitae
GCA_014204435.1	Mycobacterium chelonae_A
GCF_025822705.1	Mycobacterium flavescens
GCF_002086815.1	Mycobacterium parafortuitum
GCF_900232995.1	Mycobacterium simulans
GCF_900454025.1	Mycobacterium gilvum
GCF_010731715.1	Mycobacterium stomatepiae
GCF_002086695.1	Mycobacterium rhodesiae
GCF_036946525.1	Mycobacterium kyogaense_A
GCF_001456355.1	Mycobacterium saopaulense
GCF_022370755.2	Mycobacterium goodii
GCF_010731575.1	Mycobacterium monacense
GCF_021916785.1	Mycobacterium lacusdiani
GCF_046250095.1	Mycobacterium heraklionense_A
GCF_025821625.1	Mycobacterium pyrenivorans
GCF_002101965.1	Mycobacterium wolinskyi
GCF_010730195.1	Mycobacterium conspicuum
GCF_003254575.1	Mycobacterium kyogaense
GCF_003284935.1	Mycobacterium arosiense_A
GCF_963378075.1	Mycobacterium kokjensenii
GCF_025822405.1	Mycobacterium angelicum
GCF_019668465.1	Mycobacterium senriense
GCF_002086125.1	Mycobacterium arosiense
GCF_010731655.1	Mycobacterium paraseoulense
GCF_013404075.1	Mycobacterium vinylchloridicum
GCF_048452905.1	Mycobacterium neumannii_B
GCF_010731595.1	Mycobacterium seoulense
GCF_001667885.1	Mycobacterium scrofulaceum_C
GCF_008370645.1	Mycobacterium simiae_A
GCA_002007745.1	Mycobacterium litorale_A
GCF_963853665.1	Mycobacterium decipiens
GCF_000691525.1	Mycobacterium neoaurum
GCF_010730745.1	Mycobacterium heidelbergense
GCF_000340435.2	Mycobacterium haemophilum
GCF_002086795.1	Mycobacterium tusciae
GCF_002245535.1	Mycobacterium lehmannii
GCF_025822985.1	Mycobacterium sediminis
